,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,-4137.784474267444,2391.004907513161,-1506.6478117288743,590.7613515671504,-89.26989940594248,297.4350102068279,-335.0569619522448,-6.763302811656872,-282.00739111192973,-502.2768246495155,-15.841605532669673,216.35721782489614,-342.0799608875185,296.9152499281912,-234.38942997332072,-385.26245272943623,553.8564142433704,557.1118201608301,263.18669116029776
1,-4363.8483841486595,2310.800702522881,-1483.201244730745,773.9228079719253,-131.73949379959404,454.22849356163863,-125.65121663738933,-95.9974014548273,-241.3158180944427,-201.67675721801848,-141.45899856221735,173.85063973985643,-89.41026113071537,227.48489627348206,-106.57382486121588,-242.28744148150417,356.9420174525943,343.3381528383582,191.26404435998148
2,-3535.2815659123908,1656.7684861956805,-576.8985907969337,1122.7905844360143,-1659.8148291950874,1196.786670096504,-775.096787945099,315.4174484433911,572.0913663298246,1820.5638579895133,-383.786048980966,-111.6481321011244,-403.78665467835475,-70.57426191776669,417.6883762829434,324.8859639756286,-705.0662571479302,-28.096128761722696,-50.45622520144276
3,-5086.962921896179,1870.5447256687326,-612.1345362160976,795.300964488979,512.7289582792072,-568.2866429101603,1064.609066398496,-941.086039534462,-376.2803587990739,-719.9701224409077,547.4660292802713,-528.2760077795062,442.7134317073865,-103.51048611461717,-61.98927317521408,140.46603747793168,-90.91255094658626,-234.33156477927668,-180.15316792929443
4,-4754.05455220921,1508.3540638363274,-1169.3509048075623,550.5388495897972,873.1664673776415,-610.4923099820267,915.5054790296595,-657.4718463487201,-87.87563272823762,-1300.9880302238528,449.11817417611405,-493.0974634824517,271.32574086460966,133.87726542690098,-120.61607651673413,14.294505850055579,-207.72829471255034,-62.29785191542211,-237.46134096302754
5,-4634.104713196725,1416.114624512994,-1408.2653939670045,508.4273193363406,827.2269620448119,-553.6067076203394,793.8584854041604,-526.1625289020094,-129.1907443104855,-1362.1559975343876,368.11672583583976,-545.0100175863864,186.80551352932022,145.41495845989954,-107.16547753632955,20.6301444310027,-259.655608323892,-49.819989903885634,-289.4227250480685
6,-4731.778194207788,1506.0466106896054,-1269.4710809260973,565.0095565739756,726.1138875027218,-528.0324885465197,842.2693420211948,-607.2421399486562,-210.58360120143237,-1255.7011264055966,402.8420363791381,-514.4650282452791,210.92623499010233,107.3290927563612,-96.67207243244766,25.36626937863951,-204.20534458374468,-63.37753432269271,-298.37837743015433
7,-5466.014141877891,1865.1732232918691,-20.398019754925162,1013.2512592324138,170.47338263024548,-642.4284526200831,1231.642732806525,-1342.8343151062784,-202.20278611068932,-123.80707293822495,474.9653882408044,-423.25345069550326,794.0185671624693,-376.4674129352704,52.747646305174314,75.32123437675676,-236.91079610842647,-505.3546670735742,-306.49499625867486
8,-5494.135717343995,2094.3841284394116,364.0818525560511,1125.8373460927153,-96.69784670204386,-643.4617050706012,1164.8966025710042,-1196.8605395465775,-308.8221847243455,327.2173914398196,562.7338733917983,-424.18705277267634,859.621946520684,-517.4876049467847,101.29573594755523,198.52333009602467,-187.33683073315342,-517.7086418291392,-201.19827335096767
9,-5287.843443041138,1992.7332496916122,49.540660028591105,1117.3754457515358,-304.137949709879,-509.327610225607,1096.5163054030068,-1045.7284489376382,-560.3689155822598,440.86549124401324,245.38517773473558,-463.3626004411008,690.8521302197003,-472.3832345206887,110.29947834679267,352.9189978140251,-225.79009110060065,-586.1823413282618,-205.4581781377238
10,-5087.861491892784,1847.815165789115,-685.2932877811439,815.4651792245598,268.4446777961289,-469.172287942041,932.7601761859395,-871.5032673732906,-466.2569894578923,-485.06789074942867,367.67606145334753,-411.4347491395892,329.20326601732546,-160.8389918739097,12.867046973285138,220.3140749072082,-122.29076291958201,-271.66641737365956,-222.46804094656952
11,-5449.000815461118,2031.1844129576054,136.77220196648216,1113.0101054033298,-133.20936635574938,-544.3238849669947,1084.3338050497196,-1104.3698194362698,-345.3181192769916,314.3783683488436,432.3413376485177,-357.6596332813328,714.2571637582511,-501.90085936284675,121.88399751521445,262.968317730577,-167.65885716866686,-506.4228902379808,-196.36905670194523
12,-5382.065979003254,1875.9816950152076,-2.080687118125508,1117.964679606107,-284.2977753337299,-527.6699496724522,1093.1354589427751,-1178.463910672017,-414.6551907571826,420.7970308440252,196.13313511329667,-397.3813173075125,736.7403420272856,-502.10404681203346,149.98075411665292,324.7555519805304,-289.0942907927131,-652.6577056486882,-325.25088737530075
